Unit,Tenant Name,Status,Lease Start,Lease End,Monthly Rent,Market Rent,Security Deposit,Balance Due,Move In Date
109,Pete Effertz,Occupied,10/28/2024,10/28/2025,1784.70,1882.55,1784.70,0.00,10/28/2024
103,Arthur Bednar,Occupied,1/20/2025,1/20/2026,2879.99,2833.69,2879.99,0.00,1/20/2025
208,Ruby Schoen,Occupied,6/26/2025,6/26/2026,2099.05,2046.60,2099.05,0.00,6/26/2025
108,Jeffery Ondricka,Occupied,6/5/2024,6/5/2025,2346.41,2350.13,2346.41,0.00,6/5/2024
309,Dr. Bonnie Hayes V,Occupied,3/24/2024,3/24/2025,1991.72,2007.90,1991.72,0.00,3/24/2024
302,Santos Bartoletti,Occupied,10/24/2025,10/24/2026,2878.09,2794.59,2878.09,0.00,10/24/2025
306,,Vacant,,,0.00,2971.97,0.00,0.00,
405,Alex Block,Occupied,11/27/2024,11/27/2025,1813.59,1716.06,1813.59,0.00,11/27/2024
104,Leroy Bailey,Occupied,4/28/2025,4/28/2026,2152.19,2151.67,2152.19,0.00,4/28/2025
503,,Vacant,,,0.00,1526.85,0.00,0.00,
305,Don Dicki,Occupied,8/21/2025,8/21/2026,2256.35,2196.19,2256.35,0.00,8/21/2025
303,Stacy Kessler-Wuckert,Occupied,8/5/2024,8/5/2025,2223.53,2222.20,2223.53,0.00,8/5/2024
304,Roxanne Lehner I,Occupied,6/11/2024,6/11/2025,1996.53,1941.96,1996.53,0.00,6/11/2024
202,Sadie Russel,Occupied,11/11/2024,11/11/2025,1710.99,1718.00,1710.99,0.00,11/11/2024
